"userid","movieid","value","create_at"
"7413","173","50","18/12/2009 11:28:25"
"7413","282","90","18/12/2009 12:11:16"
"7413","320","85","19/12/2009 00:44:05"
"7413","346","70","18/12/2009 12:05:17"
"7413","392","70","18/12/2009 12:05:58"
"7413","791","65","19/12/2009 00:36:24"
"7413","1038","40","19/12/2009 00:26:34"
"7413","1398","60","19/12/2009 00:34:34"
"7413","1431","70","19/12/2009 00:42:56"
"7413","1562","60","18/12/2009 12:04:50"
"7413","1573","70","18/12/2009 11:28:55"
"7413","1852","75","18/12/2009 11:31:08"
"7413","1883","60","19/12/2009 00:27:55"
"7413","2018","55","18/12/2009 11:28:14"
"7413","2055","35","18/12/2009 12:07:55"
"7413","2334","80","19/12/2009 00:29:58"
"7413","2533","70","19/12/2009 00:43:31"
"7413","2569","60","19/12/2009 00:39:54"
"7413","2773","70","5/1/2010 17:37:36"
"7413","2830","80","19/12/2009 00:52:52"
"7413","3089","65","5/1/2010 17:29:14"
"7413","3103","55","19/12/2009 00:40:24"
"7413","3579","80","19/12/2009 00:49:16"
"7413","3944","55","19/12/2009 00:30:32"
"7413","4065","80","5/1/2010 17:29:27"
"7413","4086","80","18/12/2009 11:30:29"
"7413","4446","75","17/12/2009 23:17:56"
"7413","4883","85","18/12/2009 12:07:14"
"7413","4918","70","18/12/2009 11:29:44"
"7413","5073","60","19/12/2009 00:47:01"
"7413","5179","65","18/12/2009 12:10:58"
"7413","5950","55","18/12/2009 12:10:29"
"7413","6111","95","17/12/2009 23:14:11"
"7413","6115","80","19/12/2009 00:37:46"
"7413","6423","80","19/12/2009 00:38:04"
"7413","6433","80","19/12/2009 00:57:05"
"7413","6545","90","19/12/2009 00:43:45"
"7413","6708","65","19/12/2009 00:28:19"
"7413","7141","25","17/12/2009 23:17:30"
"7413","7162","20","19/12/2009 00:25:20"
"7413","7543","70","5/1/2010 17:37:17"
"7413","7716","60","17/12/2009 23:18:04"
"7413","7793","70","19/12/2009 00:46:54"
"7413","8097","75","18/12/2009 12:10:12"
"7413","8132","65","19/12/2009 00:37:15"
"7413","8210","80","20/12/2009 23:26:01"
"7413","8435","85","19/12/2009 00:58:35"
"7413","8462","60","18/12/2009 11:34:08"
"7413","8468","70","19/12/2009 00:37:53"
"7413","8609","50","18/12/2009 11:27:39"
"7413","8909","85","18/12/2009 12:05:06"
"7413","9032","95","17/12/2009 23:14:25"
"7413","9172","65","19/12/2009 00:43:27"
"7413","9345","80","19/12/2009 00:58:24"
"7413","9673","95","19/12/2009 00:35:51"
"7413","9711","60","5/1/2010 17:25:21"
"7413","9770","65","5/1/2010 17:27:55"
"7413","9836","90","19/12/2009 00:35:56"
